학교종류,시도,학교명,본분교,학교상태,설립,주소,홈페이지
전공대학,서울,백석예술대학교,본교,기존,사립,서울 서초구 방배로9길 23 백석예술대학교,www.bau.ac.kr
전공대학,서울,정화예술대학,본교,기존,사립,서울 중구 남산동 1가 8-1,http://www.jb.ac.kr
전공대학,서울,정화예술대학,제2캠퍼스,기존,사립,서울 중구 회현동 1가 100-48,http://www.jb.ac.kr
기능대학,경기,한국정보통신기능대학,본교,기존,사립,경기 광주시 역동 한국정보통신기능대학 ,http://www.icpc.ac.kr
기능대학,서울,한국폴리텍Ⅰ대학 서울정수캠퍼스,본교,기존,사립,서울 용산구 보광로 73(보광동 238),http://jungsu.kopo.ac.kr
기능대학,서울,한국폴리텍 I 대학 서울강서캠퍼스,본교,기존,사립,서울 강서구 화곡동 산60-1,http://kangseo.kopo.ac.kr
기능대학,경기,한국폴리텍 I 대학 성남캠퍼스,본교,기존,사립,경기 성남시 수정구 산성동 한국폴리텍I대학성남캠퍼스 ,http://seongnam.kopo.ac.kr/
기능대학,인천,한국폴리텍 II 대학 인천캠퍼스,본교,기존,사립,인천 부평구 구산동 무네미로 448번길 ,http://www.kopo.ac.kr
기능대학,인천,한국폴리텍 II 대학 남인천캠퍼스,본교,폐교,사립,인천 남구 주안5동  1389-2,
기능대학,강원,한국폴리텍 III 대학 춘천캠퍼스,본교,기존,사립,강원 춘천시 동산면 영서로 1290-31,chuncheon.kopo.ac.kr
기능대학,강원,한국폴리텍 III 대학 강릉캠퍼스,본교,기존,사립,강원 강릉시 남산초교길 121,http://gangneung.kopo.ac.kr
기능대학,대전,한국폴리텍IV 대학 대전캠퍼스,본교,기존,사립,대전 동구 우암로 352-21,www.kopo.ac.kr
기능대학,충북,한국폴리텍 IV 대학 청주캠퍼스,본교,기존,사립,충북 청주시 흥덕구 송정동 47번지 한국폴리텍IV대학 청주캠퍼스,cheongju.kopo.ac.kr
기능대학,충남,한국폴리텍 IV 대학 아산캠퍼스,본교,기존,사립,충남 아산시 신창면 행목리 323번지,http://asan.kopo.ac.kr/
기능대학,충남,한국폴리텍 IV 대학 홍성캠퍼스,본교,기존,사립,충남 홍성군 홍성읍 충서로 1200번(남장리 221-1),http://hongseong.kopo.ac.kr/
기능대학,광주,한국폴리텍V대학 광주캠퍼스,본교,기존,사립,광주 북구 운암동 58-1번지,gwangju.kopo.ac.kr
기능대학,전북,한국폴리텍 V 대학 김제캠퍼스,본교,기존,사립,전북 김제시 백학동  84번지,gimje.kopo.ac.kr
기능대학,전남,한국폴리텍V대학 목포캠퍼스,본교,기존,사립,전남 무안군 청계면 영산로 1854-16번지,www.kopo.ac.kr
기능대학,전북,한국폴리텍대학 익산캠퍼스,본교,기존,사립,전북 익산시 어양동 16번지,iksan.kopo.ac.kr
기능대학,대구,한국폴리텍대학 대구캠퍼스,본교,기존,사립,대구 서구 평리5동  1495번지,http://daegu.kopo.ac.kr
기능대학,경북,한국폴리텍대학 구미캠퍼스,본교,기존,사립,경북 구미시 수출대로3길 84,http://gumi.kopo.ac.kr/
기능대학,경남,한국폴리텍대학 창원캠퍼스,본교,기존,사립,경남 창원시 중앙동 한국폴리텍대학 창원캠퍼스,http://changwon.kopo.ac.kr
기능대학,부산,한국폴리텍Ⅶ대학 부산캠퍼스,본교,기존,사립,부산 북구 덕천1동 한국폴리텍Ⅶ대학 부산캠퍼스,http://busan.kopo.ac.kr
기능대학,울산,한국폴리텍 VII 대학 울산캠퍼스,본교,기존,사립,울산 중구 동동 81번지 한국폴리텍VII대학 울산캠퍼스,www.ulsan.kopo.ac.kr
기능대학,충남,한국폴리텍대학바이오캠퍼스,본교,기존,사립,충남 논산시 강경읍 동안로 112번길 48,http://bio.kopo.ac.kr
기능대학,대구,한국폴리텍 섬유패션캠퍼스,본교,기존,사립,대구 동구 봉무동 1558번지,http://tf.kopo.ac.kr
기능대학,경기,한국폴리텍대학 안성여자캠퍼스,본교,학교명 변경,사립,경기 안성시 공도읍 송원길 41-12(만정리 349-6),http://women.kopo.ac.kr
기능대학,경남,한국폴리텍대학 항공캠퍼스,본교,학교명 변경,사립,경남 사천시 이금동 438번지 ,http://kapc.kopo.ac.kr
